Star,Type,Atmosphere,T (K),Flux (S_earth),SemMaj (mAU),R (R_earth),Pressure(bar),O2,H2O,CO,CO2,O3,N2,N2 CALC,CH4,O2,H2O,CO,CO2,O3,N2,N2 CALC,CH4,Source
Trappist-1b,M,WetO2,391,3.88,11.5,1.127,10,9.50E-01,5.37E-04,2.58E-13,5.21E-03,1.29E-10,4.50E-02,9.50E-01,0.00E+00,1.64E-03,7.33E-14,5.15E-03,5.94E-05,4.37E-11,4.50E-02,9.93E-01,0.00E+00,Lincowski 2018
Trappist-1c,M,CO2,334,2.07,15.76,1.1,10,6.05E-06,2.85E-05,2.45E-05,9.65E-01,1.49E-15,3.50E-02,6.05E-06,0.00E+00,1.83E-03,1.43E-14,4.31E-01,5.34E-01,8.15E-10,3.50E-02,3.31E-02,0.00E+00,Lincowski 2018
Trappist-1c,M,DryO2,334,2.07,15.76,1.1,10,9.50E-01,0.00E+00,2.27E-06,5.00E-03,1.94E-10,4.50E-02,9.50E-01,0.00E+00,4.30E-01,0.00E+00,2.79E-03,2.21E-03,1.95E-07,4.50E-02,5.65E-01,0.00E+00,Lincowski 2018
Trappist-1c,M,V-type,334,2.07,15.76,1.1,10,5.46E-06,2.75E-05,2.35E-05,9.65E-01,1.59E-15,3.50E-02,5.46E-06,0.00E+00,2.43E-03,6.93E-15,4.67E-01,4.98E-01,1.40E-09,3.50E-02,3.25E-02,0.00E+00,Lincowski 2018
Trappist-1c,M,WetO2,334,2.07,15.76,1.1,10,9.50E-01,1.24E-04,9.37E-11,4.28E-03,2.22E-08,4.50E-02,9.50E-01,0.00E+00,6.06E-02,1.13E-07,1.74E-03,2.53E-03,2.14E-08,4.50E-02,9.35E-01,0.00E+00,Lincowski 2018
Trappist-1d,M,CO2,282,1.04,22.19,0.788,10,3.35E-06,2.48E-05,2.04E-05,9.65E-01,1.36E-15,3.50E-02,3.35E-06,0.00E+00,8.65E-03,6.67E-15,4.31E-01,5.34E-01,1.65E-08,3.50E-02,2.63E-02,0.00E+00,Lincowski 2018
Trappist-1d,M,DryO2,282,1.04,22.19,0.788,10,9.50E-01,0.00E+00,1.09E-06,5.00E-03,1.94E-10,4.50E-02,9.50E-01,0.00E+00,6.81E-01,0.00E+00,3.11E-03,1.89E-03,1.84E-06,4.50E-02,3.14E-01,0.00E+00,Lincowski 2018
Trappist-1d,M,V-type,282,1.04,22.19,0.788,10,2.42E-06,2.81E-05,7.58E-06,9.65E-01,3.82E-14,3.50E-02,2.42E-06,0.00E+00,1.18E-03,5.73E-08,5.30E-02,9.12E-01,3.07E-10,3.50E-02,3.38E-02,0.00E+00,Lincowski 2018
Trappist-1d,M,WetO2,282,1.04,22.19,0.788,10,9.50E-01,3.73E-05,3.06E-11,3.18E-03,1.26E-08,4.50E-02,9.50E-01,0.00E+00,3.22E-02,7.47E-10,2.26E-03,9.22E-04,6.01E-08,4.50E-02,9.65E-01,0.00E+00,Lincowski 2018
Trappist-1e,M,CO2,246,0.604,29.16,0.915,10,1.30E-06,2.66E-05,6.27E-06,9.65E-01,4.11E-16,3.50E-02,1.30E-06,0.00E+00,1.46E-03,2.49E-09,7.91E-02,8.86E-01,3.12E-09,3.50E-02,3.35E-02,0.00E+00,Lincowski 2018
